Release,DescricaoRelease,Categoria,CodeSmell,Justificativa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v1.5.6-rc.1,v1.5.6-rc.1,Change Preventers,Divergent Change,Um código que não se encaixa na estrutura atual pode causar problemas futuros.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v1.5.6-rc.1,v1.5.6-rc.1,Dispensables,Comments,A falta de justificativa ou explicação de código pode criar confusão ao usuário.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v1.5.6-rc.1,v1.5.6-rc.1,Couplers,Feature Envy,"Muitos recursos são compartilhados entre várias classes, o que pode resultar em conflitos de uso.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v1.5.6-rc.1,v1.5.6-rc.1,Regras obrigatórias,Identificação de código smells,"Para identificar esses smells, é necessário analisar o código em detalhes para verificarmos se existem batalhas entre classes ou métodos que podem ser reduzidas ou reorganizadas.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v1.5.4,v1.5.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bloaters,Long Method,Opcionalmente long method,Opcionalmente long method,Long Method,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v1.5.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v1.5.4,Object Orientation Abusers,Alternative Classes with Different Interfaces,Incompatibility between classes with different interfaces,Incompatibility between classes with different interfaces,Incompatibility between classes with different interfaces,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v1.5.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v1.5.4,Change Preventers,Divergent Change,Parallel inheritance hierarchies,Incompatible parallel inheritance hierarchies,Incompatible parallel inheritance hierarchies,Parallel inheritance hierarchies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v1.5.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v1.5.4,Dispensables,Comments,Comments,Comments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v1.5.4-rc.1,v1.5.4-rc.1,Bloaters,Long Method,"Opcionalmente, há batalhas entre classes e métodos que podem ser reduzidas ao longo do tempo.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v1.5.4-rc.1,v1.5.4-rc.1,Object Orientation Abusers,Alternative Classes with Different Interfaces,A combinação de classes diferentes pode tornar a programação mais complexa e difícil de manter.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v1.5.4-rc.1,v1.5.4-rc.1,Change Preventers,Divergent Change,Um conflito entre versões pode causar problemas significativos na integridade do código.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v1.5.4-rc.1,v1.5.4-rc.1,Dispensables,Comments,Uma quantidade excessiva de comentários pode prejudicar a legibilidade e a compreensão do código.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v1.5.4-rc.1,v1.5.4-rc.1,Couplers,Feature Envy,Um conflito entre versões pode resultar em bugs inesperados e dificultar a implementação dos novos recursos.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v1.5.0,v1.5.0,Bloaters,Long Method,Opcionalmente long method in class A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v1.5.0,v1.5.0,Object Orientation Abusers,Alternative Classes with Different Interfaces,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v1.5.0,v1.5.0,Change Preventers,Switch Statements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v1.5.0,v1.5.0,Dispensables,Comments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v1.5.0,v1.5.0,Couplers,Feature Envy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v1.4.10,Long Method,Bloaters,Long Method,"Opcionalmente, há batalhas entre classes e métodos que podem ser reduzidas ou refatoradas para melhorar a organização e eficiência do código.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v1.4.10,Large Class,Object Orientation Abusers,Large Class,Ajustes para evitar a complexidade e redundância na estrutura do código.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v1.4.10,Primitive Obsession,Change Preventers,Primitive Obsession,Ajustes para garantir que o código seja mais robusto e fácil de manter.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v1.4.10,Data Clumps,Change Preventers,Data Clumps,Ajustes para minimizar a duplicação de dados.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v1.4.10,Data Clumps,Change Preventers,Data Clumps,Ajustes para garantir que o código seja mais eficiente e menos confuso.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v1.4.10,Data Clumps,Change Preventers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v1.5.0-rc.5,v1.5.0-rc.5,Bloaters,Long Method,"Opcionalmente, há batalhas entre classes e interfaces que podem ser refatoradas para melhorar a organização e a legibilidade do código.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v1.5.0-rc.5,v1.5.0-rc.5,Object Orientation Abusers,Alternative Classes with Different Interfaces,"Aqui, existem alternativas de classes com diferentes interfaces que podem ser substituídas para melhorar a estrutura do código.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v1.5.0-rc.5,v1.5.0-rc.5,Change Preventers,Divergent Change,Um conflito de mudança pode ser resolvido através de alterações mais específicas e menos involuntárias.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v1.5.0-rc.5,v1.5.0-rc.5,Dispensables,Comments,Ajustes de comentário são essenciais para garantir que o código seja fácil de ler e entender.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v1.5.0-rc.5,v1.5.0-rc.5,Couplers,Feature Envy,Um conflito de características pode ser resolvido através de melhorias na estrutura do código.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v1.5.0-rc.5,v1.5.0-rc.5,Regras obrigatórias,Identificação de code smells,"Para identificar todos os smells, é necessário analisar o código completo.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v1.5.0-rc.2,v1.5.0-rc.2,Bloaters,Long Method,"Opcionalmente, há batalhas entre classes e métodos que podem ser reduzidas ao longo do tempo",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v1.5.0-rc.2,v1.5.0-rc.2,Object Orientation Abusers,Alternative Classes with Different Interfaces,Refusal of bequests pode ocorrer quando classes são muito similares,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v1.5.0-rc.2,v1.5.0-rc.2,Change Preventers,"Divergent change, parallel inheritance hierarchies, shotgun surgery",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v1.5.0-rc.2,v1.5.0-rc.2,Dispensables,"Comments, duplicate code, data class, dead code, lazy class, speculative generality",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v1.5.0-rc.2,v1.5.0-rc.2,Couplers,"Feature envy, inappropriate intimacy, incomplete library class, message chains, middle man",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v1.4.5,v1.4.5,Bloaters,Long Method,Opcionalmente longa classe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v1.4.5,v1.4.5,Object Orientation Abusers,Alternative Classes with Different Interfaces,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v1.4.5,v1.4.5,Change Preventers,Divergent Change,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v1.4.5,v1.4.5,Dispensables,Comments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v1.4.5,v1.4.5,Couplers,Feature Envy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v1.4.3,v1.4.3,Bloaters,Long Method,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v1.4.1,v1.4.1,Bloaters,Long Method,Opcionalmente long method que pode ser reduzido ao longo do tempo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v1.4.1,v1.4.1,Object Orientation Abusers,Alternative Classes with Different Interfaces,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v1.4.1,v1.4.1,Change Preventers,Divergent Change,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v1.4.1,v1.4.1,Displandables,Comments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v1.4.1,v1.4.1,Couplers,Feature Envy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v1.4.0-rc.2,v1.4.0-rc.2,Bloaters,Long Method,"Opcionalmente, há batalhas entre classes e métodos que podem ser reduzidas ou reorganizadas para melhorar a eficiência e legibilidade do código.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v1.4.0-rc.2,v1.4.0-rc.2,Object Orientation Abusers,Alternative Classes with Different Interfaces,A combinação de classes diferentes pode tornar o código mais complexo e difícil de entender.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v1.4.0-rc.2,v1.4.0-rc.2,Change Preventers,Divergent Change,Um código que não se encaixa na estrutura atual pode causar problemas futuros.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v1.4.0-rc.2,v1.4.0-rc.2,Dispensables,Comments,Uma lista de comentários desnecessário pode prejudicar a compreensão do código.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v1.4.0-rc.2,v1.4.0-rc.2,Couplers,Feature Envy,Um código que não faz sentido para o projeto pode gerar conflitos de funcionalidade.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v1.4.0-rc.2,v1.4.0-rc.2,Regras obrigatórias,Identificação de código smells,"Para identificar esses smells, é necessário analisar o código detalhadamente e verificar se existem alternativas mais eficientes ou melhores implementações.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v1.3.11,Long Method,Bloaters,Long Method,"Opcionalmente, pode haver outros problemas semelhantes, mas não há evidências suficientes para identificar todos os bloaters neste código.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v1.3.7,v1.3.7,Bloaters,"Long Method, Bloaters",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v1.3.4,Long Method,Bloaters,Long Method,"Opcionalmente, pode haver outras categorias que não mencionadas aqui, mas elas não são relevantes para esse cálculo. Vamos focar na Bloaters:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v1.3.4,Large Class,Bloaters,Large Class,Aumenta o tamanho do código sem razão.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v1.3.4,Primitive Obsession,Bloaters,Primitive Obsession,Usando primitive types como strings ou int pode aumentar o tamanho do código.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v1.3.4,Data Clumps,Bloaters,Data Clumps,Um bloco de dados muito grande pode tornar o código mais complexo e difícil de entender.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v1.2.10,v1.2.10,Bloaters,Long Method,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v1.2.6,v1.2.6,Bloaters,Long Method,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v1.2.3,v1.2.3,Bloaters,Long Method,Opcionalmente long method in class A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v1.2.3,v1.2.3,Object Orientation Abusers,Alternative Classes with Different Interfaces,Incompatible interfaces between classes B and C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v1.2.3,v1.2.3,Change Preventers,Divergent Change,Two different change paths leading to the same result,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v1.2.3,v1.2.3,Dispensables,Comments,No comments in the code,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v1.2.3,v1.2.3,Couplers,Feature Envy,Class A has features that are not used by class B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v1.1.19,Long Method,Bloaters,Long Method,"Opcionalmente, há batalhas entre classes que não são necessariamente equivalentes ou que podem ser reescritos para melhorar a eficiência.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v1.1.19,Large Class,Object Orientation Abusers,Large Class,A class que tem um tamanho muito grande pode ser considerado uma batalha entre classes que não são necessariamente equivalentes ou que podem ser reescritos para melhorar a eficiência.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v1.1.19,Primitive Obsession,Change Preventers,Primitive Obsession,Um código obsetivo que se concentra em mudanças pequenas pode ser considerado uma mudança preventiva.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v1.1.19,Data Clumps,Change Preventers,Data Clumps,Um código que contém muita data pode ser considerado uma mudança preventiva.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v1.1.19,Data Clumps,Change Preventers,Data Clumps,Um código que contém muita data pode ser considerado uma mudança preventiva.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v1.1.19,Data Clumps,Change Preventers,Data Clumps,Um código que contém muita data pode ser considerado uma mudança preventiva.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v1.1.19,Data Clumps,Change Preventers,Data Clumps,Um código que contém muita data pode ser considerado uma mudança preventiva.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v1.1.19,Data Clumps,Change Preventers,Data Clumps,Um código que contém muita data pode ser considerado uma mudança preventiva.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v1.1.19,Data Clumps,Change Preventers,Data Clumps,Um código que contém muita data pode ser considerado uma mudança preventiva.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v1.1.19,Data Clumps,Change Preventers,Data Clumps,Um código que contém muita data pode ser considerado uma mudança preventiva.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v1.1.19,Data Clumps,Change Preventers,Data Clumps,Um código que contém muita data pode ser considerado uma mudança preventiva.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v1.1.19,Data Clumps,Change Preventers,Data Clumps,Um código que contém muita data pode ser considerado uma mudança preventiva.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v1.1.19,Data Clumps,Change Preventers,Data Clumps,Um código que contém muita data pode ser considerado uma mudança preventiva.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v1.1.19,Data Clumps,Change Preventers,Data Clumps,Um código que contém muita data pode ser considerado uma mudança preventiva.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v1.1.19,Data Clumps,Change Preventers,Data Clumps,Um código que contém muita data pode ser considerado uma mudança preventiva.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v1.1.19,Data Clumps,Change Preventers,Data Clumps,Um código que contém muita data pode ser considerado uma mudança preventiva.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v1.1.19,Data Clumps,Change Preventers,Data Clumps,Um código que contém muita data pode ser considerado uma mudança preventiva.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v1.1.19,Data Clumps,Change Preventers,Data Clumps,Um código que contém muita data pode ser considerado uma mudança preventiva.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v1.1.19,Data Clumps,Change Preventers,Data Clumps,Um código que contém muita data pode ser considerado uma mudança preventiva.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v1.1.19,Data Clumps,Change Preventers,Data Clumps,Um código que contém muita data pode ser considerado uma mudança preventiva.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v1.1.19,Data Clumps,Change Preventers,Data Clumps,Um código que contém muita data pode ser considerado uma mudança preventiva.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v1.1.19,Data Clumps,Change Preventers,Data Clumps,Um código que contém muita data pode ser considerado uma mudança preventiva.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v1.1.19,Data Clumps,Change Preventers,Data Clumps,Um código que contém muita data pode ser considerado uma mudança preventiva.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v1.1.13,Long Method,Bloaters,Long Method,"Opcionalmente, pode haver long method que não seja necessário para o desempenho ou funcionalidade principal do programa.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v1.1.13,Large Class,Object Orientation Abusers,Large Class,A class that is too large and not optimized for the current needs of the program.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v1.1.13,Primitive Obsession,Change Preventers,Primitive Obsession,Não há mudança preventivo na classe primitive obsessiva.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v1.1.13,Long Parameter List,Change Preventers,Long Parameter List,A parameter list that is too long can lead to performance issues or make it harder to understand the function of the class.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v1.1.13,Data Clumps,Change Preventers,Data Clumps,"Um objeto pode ter muitos dados, tornando o código mais complexo e difícil de entender.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v1.1.13,Data Clumps,Change Preventers,Data Clumps,"Um objeto pode ter muitos dados, tornando o código mais complexo e difícil de entender.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v1.1.13,Data Clumps,Change Preventers,Data Clumps,"Um objeto pode ter muitos dados, tornando o código mais complexo e difícil de entender.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v1.1.13,Data Clumps,Change Preventers,Data Clumps,"Um objeto pode ter muitos dados, tornando o código mais complexo e difícil de entender.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v1.1.13,Data Clumps,Change Preventers,Data Clumps,"Um objeto pode ter muitos dados, tornando o código mais complexo e difícil de entender.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v1.1.13,Data Clumps,Change Preventers,Data Clumps,"Um objeto pode ter muitos dados, tornando o código mais complexo e difícil de entender.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v1.1.13,Data Clumps,Change Preventers,Data Clumps,"Um objeto pode ter muitos dados, tornando o código mais complexo e difícil de entender.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v1.1.13,Data Clumps,Change Preventers,Data Clumps,"Um objeto pode ter muitos dados, tornando o código mais complexo e difícil de entender.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v1.1.13,Data Clumps,Change Preventers,Data Clumps,"Um objeto pode ter muitos dados, tornando o código mais complexo e difícil de entender.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v1.1.13,Data Clumps,Change Preventers,Data Clumps,"Um objeto pode ter muitos dados, tornando o código mais complexo e difícil de entender.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v1.1.13,Data Clumps,Change Preventers,Data Clumps,"Um objeto pode ter muitos dados, tornando o código mais complexo e difícil de entender.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v1.1.13,Data Clumps,Change Preventers,Data Clumps,"Um objeto pode ter muitos dados, tornando o código mais complexo e difícil de entender.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v1.1.13,Data Clumps,Change Preventers,Data Clumps,"Um objeto pode ter muitos dados, tornando o código mais complexo e difícil de entender.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v1.1.13,Data Clumps,Change Preventers,Data Clumps,"Um objeto pode ter muitos dados, tornando o código mais complexo e difícil de entender.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v1.1.13,Data Clumps,Change Preventers,Data Clumps,"Um objeto pode ter muitos dados, tornando o código mais complexo e difícil de entender.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v1.1.13,Data Clumps,Change Preventers,Data Clumps,"Um objeto pode ter muitos dados, tornando o código mais complexo e difícil de entender.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v1.1.13,Data Clumps,Change Preventers,Data Clumps,"Um objeto pode ter muitos dados, tornando o código mais complexo e difícil de entender.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v1.1.13,Data Clumps,Change Preventers,Data Clumps,"Um objeto pode ter muitos dados, tornando o código mais complexo e difícil de entender.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v1.1.13,Data Clumps,Change Preventers,Data Clumps,Um objeto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v1.1.7,v1.1.7,Bloaters,Long Method,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v1.0.5,Long Method,Bloaters,Long Method,"Opcionalmente, há batalhas entre classes que não são necessariamente relacionadas ao problema principal (como ""Data Clumps"").",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v1.0.5,Large Class,Object Orientation Abusers,Large Class,A combinação de grandes classes pode levar à complexidade desnecessária e dificuldades para entender e manter o código.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v1.0.5,Primitive Obsession,Change Preventers,Primitive Obsession,Um comportamento de código obsesivo pode causar conflitos e dificultar a compreensão do código.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v1.0.5,Long Parameter List,Change Preventers,Long Parameter List,Um uso excessivo de parâmetros longos pode tornar o código mais difícil de se entender e manter.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v1.0.5,Data Clumps,Change Preventers,Data Clumps,Um problema de dados muito grandes pode dificultar a organização e a compreensão do código.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
